Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
AASS,Tissue enhanced,Detected in many,,liver: 43.0,
AATK,Tissue enhanced,Detected in many,,brain: 98.7;intestine: 30.0,Kidney - Endothelial cells
ABAT,Tissue enhanced,Detected in all,,brain: 127.6;kidney: 128.6;liver: 335.3;pancreas: 134.0,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Exocrine glandular cells, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
ABCA10,Tissue enhanced,Detected in many,,ovary: 17.7,Thyroid - Fibroblasts
ABCA12,Tissue enhanced,Detected in some,,breast: 5.6;skin 1: 20.2,"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"
ABCA13,Tissue enriched,Detected in some,15,bone marrow: 44.1,Lung - Respiratory ciliated cells
ABCA2,Tissue enriched,Detected in all,8,brain: 189.4,
ABCA3,Tissue enhanced,Detected in many,,brain: 39.2;lung: 88.4,"Lung - Alveolar cells type 2, Testis - Spermatogonia"
ABCA4,Group enriched,Detected in some,43,choroid plexus: 93.3;retina: 343.6,Testis - Late spermatids
ABCA6,Tissue enhanced,Detected in many,,liver: 75.6,"Kidney - Fibroblasts, Liver - Hepatocytes, Pancreas - Fibroblasts"
ABCA7,Tissue enhanced,Detected in many,,pituitary gland: 28.0,
ABCB1,Tissue enhanced,Detected in many,,adrenal gland: 98.7;intestine: 68.8,Prostate - Endothelial cells
ABCB10,Tissue enhanced,Detected in all,,bone marrow: 59.3,
ABCB11,Tissue enriched,Detected in some,13,liver: 78.1,"Testis - Early spermatids, Testis - Late spermatids"
ABCB4,Tissue enriched,Detected in some,16,liver: 119.4,"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Fibroblast_1"
ABCB5,Tissue enriched,Detected in some,10,epididymis: 26.6,Stomach - Fibroblasts
ABCB9,Tissue enhanced,Detected in all,,brain: 19.8,
ABCC11,Tissue enriched,Detected in some,13,breast: 45.3,"Adipose visceral - Adipocytes (Visceral), Skin - Sebaceous gland cells, Testis - Early spermatids"
ABCC12,Group enriched,Detected in some,4,brain: 1.4;skeletal muscle: 1.4;testis: 2.8,"Skeletal muscle - Skeletal myocytes, Skin - Outer root sheath cells, Testis - Early spermatids"
ABCC2,Tissue enhanced,Detected in many,,intestine: 39.1;liver: 118.0,"Kidney - Proximal tubular cells, Testis - Early spermatids"
ABCC3,Tissue enhanced,Detected in many,,adrenal gland: 57.3;liver: 49.1,"Prostate - Prostate basal glandular cells, Stomach - Gastric mucous cells"
ABCC4,Tissue enhanced,Detected in many,,prostate: 39.8,"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Spermatogonia"
ABCC6,Tissue enhanced,Detected in many,,kidney: 22.4;liver: 45.9,"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Eccrine sweat gland cells"
ABCC8,Group enriched,Detected in many,5,brain: 42.2;pancreas: 19.5;pituitary gland: 33.4,"Heart muscle - Cardiomyocytes, Pancreas - Alpha cells, Pancreas - Beta cells"
ABCC9,Tissue enhanced,Detected in many,,skeletal muscle: 39.3,Kidney - Fibroblasts
ABCD2,Tissue enhanced,Detected in many,,adipose tissue: 15.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Colon enteroendocrine cells, Heart muscle - Cardiomyocytes"
ABCD3,Tissue enhanced,Detected in all,,liver: 122.8,"Breast - Breast glandular cells, Lung - Alveolar cells type 2"
ABCG2,Tissue enhanced,Detected in many,,intestine: 85.9,Liver - Hepatocytes
ABCG4,Group enriched,Detected in some,6,brain: 22.3;retina: 50.4,"Colon - Colon enteroendocrine cells, Testis - Early spermatids"
ABCG5,Group enriched,Detected in some,69,intestine: 46.4;liver: 60.5,Liver - Hepatocytes
ABCG8,Group enriched,Detected in some,52,intestine: 30.6;liver: 61.9,"Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes"
ABHD1,Tissue enriched,Detected in some,6,testis: 21.0,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"
ABHD12B,Group enriched,Detected in some,7,brain: 6.6;retina: 13.9;skin 1: 10.1,"Adipose visceral - Mesothelial cells, Kidney - Podocytes, Skin - Keratinocyte (granular)"
ABHD15,Tissue enhanced,Detected in all,,liver: 25.4,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes"
ABHD16B,Tissue enriched,Detected in many,4,testis: 15.5,
ABHD17A,Tissue enhanced,Detected in all,,brain: 199.2,
ABHD17C,Tissue enhanced,Detected in all,,intestine: 63.1,Stomach - Gastric mucous cells
ABHD2,Tissue enhanced,Detected in all,,liver: 133.5,"Testis - Early spermatids, Testis - Late spermatids"
ABHD6,Tissue enhanced,Detected in many,,liver: 62.9,"Skin - Keratinocyte (other), Stomach - Macrophages"
ABHD8,Tissue enhanced,Detected in all,,brain: 98.3,"Skin - Keratinocyte (granular), Testis - Early spermatids, Testis - Late spermatids"
ABI3,Tissue enhanced,Detected in many,,lymphoid tissue: 67.8,Heart muscle - Endothelial cells
ABLIM2,Group enriched,Detected in many,4,skeletal muscle: 197.6;tongue: 70.6,"Breast - Endothelial cells, Kidney - Podocytes"
ABLIM3,Tissue enhanced,Detected in many,,liver: 112.9,"Adipose visceral - Endothelial cells, Kidney - Proximal tubular cells, Prostate - Fibroblasts"
ABO,Tissue enhanced,Detected in many,,intestine: 12.9,
ABR,Tissue enhanced,Detected in many,,brain: 113.3,
ABRA,Tissue enhanced,Detected in some,,heart muscle: 30.4;skeletal muscle: 139.7;tongue: 61.3,"Adipose visceral - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Smooth muscle cells"
ABTB2,Tissue enhanced,Detected in many,,brain: 21.9,
ABTB3,Tissue enhanced,Detected in many,,esophagus: 28.5;parathyroid gland: 96.9,"Liver - Hepatocytes, Pancreas - Alpha cells, Skin - Keratinocyte (other), Testis - Peritubular cells, Thyroid - Thyroid glandular cells"
ACAA1,Group enriched,Detected in all,4,kidney: 204.7;liver: 638.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells"
ACAA2,Tissue enhanced,Detected in all,,liver: 981.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Pancreas - Macrophages, Skin - Sebaceous gland cells, Testis - Spermatogonia"
ACACB,Tissue enhanced,Detected in all,,adipose tissue: 176.9;skeletal muscle: 167.0,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes"
ACAD11,Group enriched,Detected in all,4,choroid plexus: 46.2;kidney: 62.1;liver: 100.5,Kidney - Proximal tubular cells
ACADL,Tissue enhanced,Detected in many,,liver: 27.2;pancreas: 27.6,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"
ACADM,Tissue enhanced,Detected in all,,liver: 356.4;skeletal muscle: 367.9;tongue: 458.9,"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Sebaceous gland cells, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
ACADS,Tissue enhanced,Detected in many,,liver: 239.5;skeletal muscle: 152.6,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Testis - Early spermatids"
ACADSB,Tissue enriched,Detected in all,4,liver: 349.2,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes"
ACADVL,Tissue enhanced,Detected in all,,skeletal muscle: 820.0,Heart muscle - Cardiomyocytes
ACAN,Tissue enhanced,Detected in some,,seminal vesicle: 3.0,"Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Smooth muscle cells"
ACAP1,Tissue enhanced,Detected in many,,bone marrow: 40.5;intestine: 42.1;lymphoid tissue: 93.7,"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Kidney - T-cells, Liver - T-cells, Prostate - T-cells, Skin - T-cells, Testis - Late spermatids, Thyroid - T-cells"
ACAP3,Tissue enhanced,Detected in all,,brain: 144.9,
ACAT1,Tissue enhanced,Detected in all,,kidney: 599.8;liver: 939.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"
ACAT2,Tissue enriched,Detected in all,5,liver: 224.4,"Liver - Hepatocytes, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
ACBD4,Tissue enhanced,Detected in all,,liver: 90.7,Liver - Hepatocytes
ACBD7,Tissue enriched,Detected in some,5,brain: 39.3,Testis - Early spermatids
ACE,Tissue enhanced,Detected in many,,intestine: 257.7;testis: 99.0,"Adipose subcutaneous - Adipose progenitor cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Fibroblast_1, Testis - Late spermatids, Thyroid - Fibroblasts"
ACE2,Tissue enhanced,Detected in many,,gallbladder: 64.1;intestine: 237.9;kidney: 85.2,"Kidney - Proximal tubular cells, Liver - Hepatocytes"
ACER1,Tissue enriched,Detected in some,7,skin 1: 85.3,"Prostate - Prostate glandular cells, Skin - Keratinocyte (granular)"
ACER2,Group enriched,Detected in many,5,stomach 1: 60.2;urinary bladder: 37.8,"Breast - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells, Stomach - Gastric mucous cells"
ACHE,Group enriched,Detected in many,8,brain: 104.5;skeletal muscle: 157.4;tongue: 46.2,"Colon - Colon enteroendocrine cells, Heart muscle - Fibroblasts"
ACKR1,Tissue enhanced,Detected in all,,adipose tissue: 310.2,"Breast - Endothelial cells, Colon - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Testis - Endothelial cells"
ACKR2,Tissue enhanced,Detected in many,,liver: 9.1;placenta: 15.4,
ACKR4,Tissue enhanced,Detected in many,,intestine: 15.3,Thyroid - Fibroblasts
ACMSD,Group enriched,Detected in some,21,kidney: 135.9;liver: 157.5,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"
ACO1,Tissue enhanced,Detected in all,,liver: 130.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Smooth muscle cells, Skin - Sebaceous gland cells, Stomach - Macrophages"
ACO2,Tissue enhanced,Detected in all,,heart muscle: 549.2;skeletal muscle: 637.1;tongue: 669.0,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells"
ACOD1,Tissue enhanced,Detected in single,,lymphoid tissue: 1.4,
ACOT1,Tissue enhanced,Detected in all,,liver: 43.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skin - Sebaceous gland cells"
ACOT11,Tissue enhanced,Detected in many,,intestine: 33.2,Heart muscle - Cardiomyocytes
ACOT12,Tissue enriched,Detected in some,37,liver: 97.6,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"
ACOT13,Tissue enhanced,Detected in all,,liver: 29.7,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"
ACOT4,Tissue enhanced,Detected in many,,kidney: 14.4;liver: 16.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Lung - Macrophages, Skin - Sebaceous gland cells"
ACOT6,Tissue enhanced,Detected in some,,kidney: 3.6;liver: 3.0;skeletal muscle: 3.9,Kidney - Proximal tubular cells
ACOT7,Tissue enhanced,Detected in all,,brain: 141.6,"Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Late spermatids"
ACOX1,Tissue enhanced,Detected in all,,liver: 117.5,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes"
ACOX2,Tissue enriched,Detected in many,4,liver: 171.9,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"
ACOXL,Tissue enhanced,Detected in some,,epididymis: 7.0;lung: 8.9;urinary bladder: 4.5,"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Testis - Early spermatids, Testis - Late spermatids"
ACP3,Tissue enriched,Detected in many,76,prostate: 3512.4,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"
ACP4,Group enriched,Detected in some,4,skin 1: 1.2;testis: 3.6,Testis - Late spermatids
ACP5,Tissue enhanced,Detected in all,,lung: 159.9,"Adipose subcutaneous - Macrophages, Kidney - Proximal tubular cells, Liver - Sinusoid Endothelial cells, Lung - Macrophages, Skeletal muscle - Macrophages"
ACP7,Tissue enhanced,Detected in some,,brain: 10.2;skin 1: 5.8,Skin - Keratinocyte (granular)
ACR,Tissue enriched,Detected in some,29,testis: 84.3,"Testis - Early spermatids, Testis - Late spermatids"
ACRBP,Tissue enriched,Detected in many,20,testis: 275.6,"Testis - Early spermatids, Testis - Late spermatids"
ACRV1,Tissue enriched,Detected in some,33,testis: 113.4,"Testis - Early spermatids, Testis - Late spermatids"
ACSBG1,Group enriched,Detected in some,5,brain: 39.3;skin 1: 13.9,"Lung - Respiratory ciliated cells, Skin - Sebaceous gland cells"
ACSBG2,Tissue enriched,Detected in single,226,testis: 125.5,"Kidney - Proximal tubular cells, Testis - Early spermatids, Testis - Late spermatids"
ACSF2,Tissue enhanced,Detected in all,,kidney: 137.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate basal glandular cells, Thyroid - Thyroid glandular cells"
ACSL1,Tissue enhanced,Detected in all,,adipose tissue: 699.7;liver: 1108.8;skeletal muscle: 705.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Liver - Hepatocytes, Lung - Neutrophil_2, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
ACSL3,Tissue enhanced,Detected in all,,parathyroid gland: 166.7,"Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"
ACSL5,Tissue enhanced,Detected in all,,epididymis: 218.8;intestine: 418.8;liver: 165.4,"Breast - Endothelial cells, Heart muscle - Endothelial cells, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
ACSL6,Tissue enhanced,Detected in many,,bone marrow: 22.4;brain: 30.7;retina: 44.4,"Adipose visceral - T-cells, Breast - T-cells, Heart muscle - Cardiomyocytes, Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Testis - Early spermatids, Thyroid - T-cells"
ACSM1,Tissue enriched,Detected in many,21,breast: 209.4,Prostate - Prostate glandular cells
ACSM2A,Group enriched,Detected in some,1179,kidney: 267.2;liver: 351.8,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"
ACSM2B,Group enriched,Detected in some,331,kidney: 399.0;liver: 510.9,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"
ACSM3,Tissue enhanced,Detected in many,,kidney: 82.0;liver: 172.5,"Liver - Hepatocytes, Liver - Hepatocytes, Skin - Sebaceous gland cells"
ACSM5,Tissue enriched,Detected in many,11,liver: 268.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes"
ACSM6,Tissue enhanced,Detected in some,,lymphoid tissue: 3.1;pancreas: 3.1;skin 1: 1.6;stomach 1: 1.6,"Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Late spermatids"
ACSS1,Tissue enhanced,Detected in all,,choroid plexus: 175.2,"Heart muscle - Cardiomyocytes, Stomach - Parietal cells"
ACSS2,Tissue enhanced,Detected in all,,skeletal muscle: 113.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Stomach - Gastric mucous cells"
ACSS3,Tissue enhanced,Detected in many,,liver: 38.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Fibroblasts, Thyroid - Thyroid glandular cells"
ACTA1,Tissue enriched,Detected in many,6,skeletal muscle: 127668.4,"Skeletal muscle - Skeletal myocytes, Skin - Smooth muscle cells"
ACTA2,Tissue enhanced,Detected in all,,endometrium 1: 6452.4;seminal vesicle: 5718.9;smooth muscle: 7795.8,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Liver - Hepatic stellate cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
ACTC1,Tissue enriched,Detected in many,21,heart muscle: 11007.3,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
ACTG2,Tissue enhanced,Detected in many,,intestine: 8547.8;seminal vesicle: 6026.0;smooth muscle: 8283.2,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Skin - Smooth muscle cells, Thyroid - Smooth muscle cells"
ACTL10,Tissue enriched,Detected in some,6,testis: 7.7,
ACTL6B,Group enriched,Detected in some,8,brain: 52.2;pituitary gland: 14.9,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Thyroid - Parafollicular cells"
ACTL7A,Tissue enriched,Detected in single,1052,testis: 223.8,Testis - Late spermatids
ACTL7B,Tissue enriched,Detected in single,1102,testis: 115.5,Testis - Late spermatids
ACTL8,Tissue enriched,Detected in single,8,testis: 6.9,Testis - Spermatogonia
ACTL9,Tissue enriched,Detected in single,1087,testis: 108.6,Testis - Late spermatids
ACTN1,Tissue enhanced,Detected in all,,smooth muscle: 515.0,"Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skin - Outer root sheath cells"
ACTN2,Group enriched,Detected in many,38,heart muscle: 717.1;skeletal muscle: 2019.8;tongue: 1230.1,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
ACTN3,Tissue enriched,Detected in some,72,skeletal muscle: 1612.5,"Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids"
ACTR3B,Tissue enhanced,Detected in all,,brain: 51.5,Testis - Spermatocytes
ACTR3C,Tissue enhanced,Detected in all,,parathyroid gland: 54.8,"Liver - Hepatocytes, Lung - Alveolar cells type 2, Thyroid - Thyroid glandular cells"
ACTRT1,Tissue enriched,Detected in single,40,testis: 4.0,
ACTRT2,Tissue enriched,Detected in single,1108,testis: 151.0,Testis - Late spermatids
ACTRT3,Tissue enriched,Detected in many,17,testis: 46.1,"Breast - Adipocytes (Breast), Testis - Early spermatids, Testis - Late spermatids"
ACVR1C,Tissue enriched,Detected in some,5,adipose tissue: 30.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"
ACVRL1,Tissue enhanced,Detected in many,,lung: 93.3,"Heart muscle - Endothelial cells, Kidney - Endothelial cells"
ACY1,Group enriched,Detected in all,7,intestine: 176.3;kidney: 434.0;liver: 266.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells"
ACY3,Group enriched,Detected in many,4,intestine: 75.4;kidney: 56.6;liver: 33.0;pancreas: 21.5,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - T-cells"
ACYP2,Tissue enhanced,Detected in all,,brain: 109.0;skeletal muscle: 197.0;tongue: 153.1,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"
ADA,Group enriched,Detected in many,8,intestine: 468.5;lymphoid tissue: 238.9,
ADA2,Tissue enhanced,Detected in all,,lymphoid tissue: 110.0,"Lung - Macrophages, Testis - Late spermatids"
ADAD1,Tissue enriched,Detected in single,188,testis: 115.6,"Testis - Early spermatids, Testis - Late spermatids"
ADAD2,Tissue enriched,Detected in some,17,testis: 62.9,Testis - Early spermatids
ADAM11,Tissue enriched,Detected in many,9,brain: 94.8,Heart muscle - Cardiomyocytes
ADAM12,Tissue enriched,Detected in many,10,placenta: 130.4,"Heart muscle - Fibroblasts, Skeletal muscle - Fibroblasts"
ADAM18,Tissue enriched,Detected in single,74,testis: 8.9,Testis - Early spermatids
ADAM2,Tissue enriched,Detected in single,371,testis: 37.0,Testis - Early spermatids
ADAM20,Tissue enriched,Detected in single,12,testis: 5.1,"Testis - Early spermatids, Testis - Late spermatids"
ADAM21,Tissue enriched,Detected in some,7,testis: 8.4,"Testis - Early spermatids, Testis - Late spermatids"
ADAM22,Tissue enriched,Detected in many,5,brain: 51.3,Testis - Spermatogonia
ADAM23,Tissue enhanced,Detected in many,,brain: 32.6;parathyroid gland: 80.0,"Colon - Enteric glia cells, Heart muscle - Cardiomyocytes, Lung - Fibroblast_2, Testis - Spermatogonia"
ADAM28,Group enriched,Detected in many,6,epididymis: 347.9;stomach 1: 107.1,Thyroid - T-cells
ADAM29,Tissue enriched,Detected in single,71,testis: 39.9,"Testis - Early spermatids, Testis - Late spermatids"
ADAM30,Tissue enriched,Detected in single,252,testis: 25.2,Testis - Early spermatids
ADAM32,Tissue enriched,Detected in some,15,testis: 26.6,Testis - Early spermatids
ADAM33,Tissue enhanced,Detected in many,,cervix: 72.6,"Adipose subcutaneous - Adipose progenitor cells, Breast - Fibroblasts, Liver - Hepatic stellate cells, Thyroid - Fibroblasts"
ADAM7,Tissue enriched,Detected in some,239,epididymis: 3638.5,"Testis - Early spermatids, Testis - Late spermatids"
ADAM8,Tissue enhanced,Detected in many,,bone marrow: 67.8;lymphoid tissue: 47.3,"Adipose visceral - Neutrophils, Breast - T-cells, Heart muscle - Neutrophils, Thyroid - T-cells"
ADAMDEC1,Tissue enriched,Detected in some,6,intestine: 413.0,Adipose visceral - Macrophages
ADAMTS1,Tissue enhanced,Detected in all,,ovary: 300.2,"Breast - Endothelial cells, Testis - Endothelial cells"
ADAMTS13,Tissue enhanced,Detected in many,,liver: 62.2,"Liver - Hepatic stellate cells, Testis - Late spermatids"
ADAMTS14,Tissue enhanced,Detected in some,,gallbladder: 6.5;placenta: 7.3,
ADAMTS15,Tissue enhanced,Detected in many,,adipose tissue: 24.5,Breast - Adipocytes (Breast)
ADAMTS16,Tissue enhanced,Detected in many,,brain: 8.0;ovary: 23.4,"Colon - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_1"
ADAMTS17,Tissue enhanced,Detected in many,,lymphoid tissue: 10.4,"Kidney - Ascending Loop of Henle cells, Testis - Late spermatids"
